layer	representation_type	strategy	split-type	r	p	fasttext-all-GS_r	in_freq_interval_225375_r	freq_lower_interval_1.5_r	freq_higher_interval_1.5_r	freq_lower_interval_1.75_r	freq_higher_interval_1.75_r	freq_lower_interval_2.25_r	freq_higher_interval_2.25_r	freq_lower_interval_2.5_r	freq_higher_interval_2.5_r	freq_lower_interval_2.75_r	freq_higher_interval_2.75_r	freq_lower_interval_3_r	freq_higher_interval_3_r	freq_lower_interval_3.25_r	freq_higher_interval_3.25_r	freq_lower_interval_3.5_r	freq_higher_interval_3.5_r	freq_lower_interval_3.75_r	freq_higher_interval_3.75_r	freq_lower_interval_4_r	freq_higher_interval_4_r	freq_lower_interval_4.25_r	freq_higher_interval_4.25_r	bothcomplete_flota_r	oneincomplete_flota_r
7	google#electra-base-discriminator-nocontext	avg-omitfirst	0-split	0.176830550631855	2.25553111829438e-157	0.257690582926211	0.178445650530135		0.183046167268003		0.183046167268003		0.182880703086607	0.492805380304581	0.182456453657018	0.40087627739562	0.183317725423847	0.179614112809869	0.183075359699888	0.186450831334353	0.185376286250551	0.177494790990158	0.194788718182212	0.172158593421891	0.208582883414371	0.173875768278609	0.227614274636128	0.177038621606643	0.228083378886595		
7	google#electra-base-discriminator-nocontext	avg-omitfirst	1-split	0.128848026063792	6.95476874361365e-84	0.125383758692731	0.150610184194782		0.142533437776884	-0.316227766016838	0.141461717460796	0.087006114112932	0.150974825474973	0.024240208154559	0.153361775267758	0.088144008853101	0.154160661366583	0.136461132261699	0.171894535180318	0.128285934369067	0.191180277170664	0.136107275860801	0.259321051722196	0.141000211814512	0.5	0.141959529217255		0.142306294321449			
7	google#electra-base-discriminator-nocontext	avg-omitfirst	2-split	0.191235479388998	2.70219086141382e-184	0.195544450416506	0.209085103036944	0.235726268767549	0.180019048039675	0.222235192574745	0.18008189853439	0.205515125056264	0.200326792391835	0.200064574841362	0.220674197480267	0.198623749215324	0.204315399925627	0.200124954313234	0.205449145971258	0.200266926226633		0.200064166615318		0.200064166615318		0.200064166615318		0.200064166615318			
7	google#electra-base-discriminator-nocontext	avg-omitfirst	all	0.146473564257086	0.0	0.20355205982401	0.147576854827767	0.235726268767549	0.162726273941535	0.221521693714639	0.161837127883057	0.202479273433541	0.1648806455097	0.192405355311539	0.166263103600084	0.185014495304693	0.172135763117223	0.171473912588816	0.176348017543796	0.167302921786458	0.182606046094845	0.165204499643308	0.195693845316286	0.162925723545665	0.209130989515638	0.164728485630975	0.227614274636128	0.167317874445279	0.228083378886595		
2	google#electra-base-discriminator-nocontext	average	0-split	0.296787707191333	0.0	0.417488636121822	0.321760874888084		0.312107131010644		0.312107131010644		0.311749184183793	0.753702346348183	0.310677492206734	0.771415094705047	0.306206250800796	0.569904242402144	0.302990342701538	0.384325600608457	0.306912339966895	0.322134439003125	0.310243466340452	0.31155002136547	0.308631925226729	0.309859139502532	0.316405900349696	0.308917479643564	0.319535465220656		
2	google#electra-base-discriminator-nocontext	average	1-split	0.189414725005285	9.56775616286864e-181	0.226762023555503	0.249877765467674		0.254829640459353	-0.632455532033676	0.255535600273243	0.135083318108221	0.252228176500651	0.299584467348245	0.261651081886967	0.218795713859319	0.264416872452521	0.244000802799071	0.297174927385141	0.235968549385618	0.281444080198776	0.251914548075506	0.378659032335444	0.25313859384835	0.5	0.254893177692816		0.254958690572661			
2	google#electra-base-discriminator-nocontext	average	2-split	0.247524767686998	0.0	0.272420627256881	0.250918574396373	0.304491598970956	0.234660579912063	0.291725271948487	0.235101377529882	0.274406139634338	0.247411706906228	0.265878468414577	0.27658913885774	0.262414810879825	0.265577090480618	0.262989429655084	0.476892271051162	0.262687968116317		0.263307022344998		0.263307022344998		0.263307022344998		0.263307022344998			
2	google#electra-base-discriminator-nocontext	average	all	0.222818366485845	0.0	0.309635761516756	0.256884018205337	0.304491598970956	0.269987903623086	0.291045054647438	0.272364948815878	0.272194557941632	0.278633175252359	0.263666022523973	0.283806966534015	0.25546470658541	0.288956691436061	0.251129889484539	0.294109894698344	0.254355497615288	0.302620705550847	0.258758812967507	0.310956248680974	0.263601965390277	0.308852160746087	0.268202779423031	0.316405900349696	0.270332810103327	0.319535465220656		
1	google#electra-base-discriminator-nocontext	waverage	0-split	0.361810133370412	0.0	0.563009928290536	0.392351518805989		0.377333755765483		0.377333755765483		0.377055206768973	0.753702346348183	0.376351946247751	0.733452711495587	0.372032008333355	0.611529815840721	0.367838295598447	0.45359931110087	0.372341096778271	0.390032343948088	0.378570310111162	0.38320769385757	0.383284570756954	0.382099890476614	0.381543948683555	0.380158973769599	0.369754345699289		
1	google#electra-base-discriminator-nocontext	waverage	1-split	0.192329428186819	2.1569455247211402e-186	0.270336332691058	0.269693321043124		0.263598333881981	-0.632455532033676	0.264643081962887	0.104440704572762	0.26250713582368	0.283092836486929	0.276091750192337	0.205672392686639	0.273123628661323	0.249402501496525	0.304558854513469	0.246280713989137	0.320132912173697	0.258918234676684	0.369096787870722	0.261145762207699	-1.0	0.264014205806775		0.263733160405148			
1	google#electra-base-discriminator-nocontext	waverage	2-split	0.179817703471176	7.84059290046345e-163	0.256858807562854	0.180974870874216	0.242032313646823	0.168208194848859	0.232094377252242	0.169932643155277	0.209739199740872	0.18375472124607	0.203218625589162	0.238299595160622	0.197630080398812	0.328091136245245	0.197453910128711	0.398789304950104	0.200004215077066		0.200535675499252		0.200535675499252		0.200535675499252		0.200535675499252			
