layer	representation_type	strategy	split-type	r	p	fasttext-all-GS_r	in_freq_interval_225375_r	freq_lower_interval_1.5_r	freq_higher_interval_1.5_r	freq_lower_interval_1.75_r	freq_higher_interval_1.75_r	freq_lower_interval_2.25_r	freq_higher_interval_2.25_r	freq_lower_interval_2.5_r	freq_higher_interval_2.5_r	freq_lower_interval_2.75_r	freq_higher_interval_2.75_r	freq_lower_interval_3_r	freq_higher_interval_3_r	freq_lower_interval_3.25_r	freq_higher_interval_3.25_r	freq_lower_interval_3.5_r	freq_higher_interval_3.5_r	freq_lower_interval_3.75_r	freq_higher_interval_3.75_r	freq_lower_interval_4_r	freq_higher_interval_4_r	freq_lower_interval_4.25_r	freq_higher_interval_4.25_r	bothcomplete_flota_r	oneincomplete_flota_r
1	xlnet-base-cased-nocontext	longest	all	0.133707495134187	1.20972028986648e-11	0.137306173953049	0.121210962542425	0.30452039929739	0.179518672289818	0.217299751677842	0.189396901177671	0.163101638188653	0.242332400559047	0.128084893432741	0.261148554597025	0.145659803283198	0.262323240346067	0.159328640699741	0.288892435855134	0.124805316774405	0.352999352030921	0.097806256083275	0.376749575536753	0.121129369921284	0.462582662862863	0.133069443276473	0.566424776092047	0.149539770926753	0.630774131181502		
0	xlnet-base-cased-nocontext	average	0-split	0.475211832613327	1.36762642848143e-37	0.741792330611173	0.674090819920443		0.472671356384768		0.472671356384768		0.472671356384768		0.472671356384768		0.464924002579362	-1.0	0.463000094270916	0.771957994770643	0.470277332747992	0.680825096724022	0.470816473233078	0.58171788154752	0.521023879782522	0.471538681830137	0.510555769596407	0.475500818857431	0.509769804717551		
0	xlnet-base-cased-nocontext	average	1-split	0.166903065827323	6.82522363393775e-08	0.308701170491673	0.146564559387448		0.201374038577115		0.201374038577115		0.202043987803528	-0.8	0.184421251967791	0.137270307258715	0.15154497683215	0.4406572499734	0.146581900948149	0.334401514632731	0.207446865402039	0.193550331262327	0.102897301116826	0.225440768171647	-0.039354619758715	0.226477494202553	-0.480344410294413	0.221998205776946	-0.297939785765562		
0	xlnet-base-cased-nocontext	average	2-split	0.212504593391953	2.26268346030215e-10	0.239956643734314	0.074308357048798	0.373347263092583	0.177384757689327	0.348972588878303	0.188922239835791	0.287922523335365	0.131611317852896	0.270646598788222	0.186179158931076	0.231343792194998	0.399302899583442	0.189581087594768	0.338481162184397	0.213811702404906	0.470505417228417	0.199181383557488	0.64416032843977	0.20786682180561		0.215076781330356		0.218514905546725			
0	xlnet-base-cased-nocontext	average	all	0.2366248567343	8.73611619947355e-34	0.446384616491743	0.214277477872708	0.373347263092583	0.309445024778792	0.348972588878303	0.318512558192966	0.287922523335365	0.316082411435932	0.252261721352488	0.335437968667487	0.213312793253148	0.346541657165614	0.218754234029556	0.347186011534382	0.255641525961061	0.397299005421054	0.224122816524278	0.408315207962461	0.256783830656041	0.460500613249818	0.272034935910951	0.469603177240609	0.290359704158994	0.482086294144583		
3	xlnet-base-cased-nocontext	onesentence-avg	0-split	0.412229302674094	8.221508753120001e-28	0.610376303299862	0.721237097041503		0.414403139240947		0.414403139240947		0.414403139240947		0.414403139240947		0.405856434378203	-0.5	0.396258376254868	0.795778412894995	0.403431225656367	0.644517446758913	0.3646555374114	0.610240251971226	0.399286838456695	0.450527831240701	0.428267930295553	0.416079257201001	0.353808763064454		
3	xlnet-base-cased-nocontext	onesentence-avg	1-split	0.116670752637553	0.000171183756167	0.204633698972546	0.180498806322204		0.170955148163848		0.170955148163848		0.173257061439386	-0.5	0.14683175136767	0.411810921776144	0.108234037468861	0.419123073662972	0.163276737870462	0.19876481880781	0.200132673525726	0.149462361361045	0.219560877896151	0.167238138868168	0.224118092804328	0.166267066565035	-0.107261373172539	0.175364418797956	0.340502612303499		
3	xlnet-base-cased-nocontext	onesentence-avg	2-split	0.266706601671567	1.1050614232296401e-15	0.319999714310511	0.227948666713149	0.560219892895799	0.257338032926103	0.402488742009485	0.242860212920307	0.326736759175291	0.298566296116719	0.293402523475572	0.341052482255688	0.276103728313566	0.408374666658675	0.270425363956079	0.439335561228549	0.272715732317079	0.543695148797282	0.270494484984387	0.593305565668209	0.279741665245151		0.289022991771589		0.290902105486577			
3	xlnet-base-cased-nocontext	onesentence-avg	all	0.185069705438264	4.40533978126423e-21	0.306933231814596	0.210622454597476	0.560219892895799	0.241871842272463	0.402488742009485	0.238829315701029	0.326736759175291	0.255109467042966	0.275031981094023	0.265941916786374	0.25283029387338	0.259449845686928	0.284512405919903	0.270243567191719	0.266236379868792	0.320053860200829	0.223403698320249	0.331454847637402	0.22600445303371	0.388974658822986	0.228031114048077	0.458492276859497	0.23520213396892	0.454469437604162		
7	xlnet-base-cased-nocontext	onesentence-avg	0-split	0.355677297745927	1.2212124261656701e-20	0.540844288281966	0.643733723978199		0.362853404334764		0.362853404334764		0.362853404334764		0.362853404334764		0.353597531672733	-0.5	0.347202596634455	0.621095346649752	0.351885453173861	0.4917624150705	0.278270810689535	0.607443254994263	0.270518621682536	0.451795759857708	0.268393491058677	0.397137432530585	0.193168890161764		
