	strategy	split-type	layer	model	accuracy	goldtrue_predicttrue	goldtrue_predictfalse	goldfalse_predicttrue	goldfalse_predictfalse
193	longest	1-split-bal	1	bert	0.5111111111111111	25	20	24	21
194	longest	2-split-bal	1	bert	0.5824742268041238	85	12	69	28
195	longest	0-split-dev	2	bert	0.5636743215031316	135	93	116	135
196	longest	1-split-all	2	bert	0.5641025641025641	44	28	23	22
197	longest	2-split-all	2	bert	0.7103825136612022	233	36	70	27
198	longest	ALL	2	bert	0.5911638641608968	1877	1156	1324	1709
199	longest	SAME	2	bert	0.6104680422747861	1791	264	1284	635
200	longest	DIFF	2	bert	0.5544933078393881	86	892	40	1074
201	longest	1-split-DIFF	2	bert	0.5641025641025641	44	28	23	22
202	longest	2-split-SAME	2	bert	0.7846715328467153	215	0	59	0
203	longest	2-split-DIFF	2	bert	0.4891304347826087	18	36	11	27
204	longest	0-split-dev-SAME	2	bert	0.5641025641025641	133	20	116	43
205	longest	0-split-dev-DIFF	2	bert	0.562874251497006	2	73	0	92
206	longest	1-split-bal	2	bert	0.5333333333333333	26	19	23	22
207	longest	2-split-bal	2	bert	0.5824742268041238	86	11	70	27
208	longest	0-split-dev	3	bert	0.6137787056367432	138	90	95	156
209	longest	1-split-all	3	bert	0.5299145299145299	27	45	10	35
210	longest	2-split-all	3	bert	0.7158469945355191	234	35	69	28
211	longest	ALL	3	bert	0.6241345202769535	1864	1169	1111	1922
212	longest	SAME	3	bert	0.6484650226472068	1704	351	1046	873
213	longest	DIFF	3	bert	0.5779158699808795	160	818	65	1049
214	longest	1-split-DIFF	3	bert	0.5299145299145299	27	45	10	35
215	longest	2-split-SAME	3	bert	0.7846715328467153	215	0	59	0
216	longest	2-split-DIFF	3	bert	0.5108695652173914	19	35	10	28
217	longest	0-split-dev-SAME	3	bert	0.6346153846153846	133	20	94	65
218	longest	0-split-dev-DIFF	3	bert	0.5748502994011976	5	70	1	91
219	longest	1-split-bal	3	bert	0.6	19	26	10	35
220	longest	2-split-bal	3	bert	0.5876288659793815	86	11	69	28
221	longest	0-split-dev	4	bert	0.6471816283924844	148	80	89	162
222	longest	1-split-all	4	bert	0.5128205128205128	25	47	10	35
223	longest	2-split-all	4	bert	0.7295081967213115	238	31	68	29
224	longest	ALL	4	bert	0.6462248598747115	1908	1125	1021	2012
225	longest	SAME	4	bert	0.6675893306492199	1660	395	926	993
226	longest	DIFF	4	bert	0.6056405353728489	248	730	95	1019
227	longest	1-split-DIFF	4	bert	0.5128205128205128	25	47	10	35
228	longest	2-split-SAME	4	bert	0.7846715328467153	215	0	59	0
229	longest	2-split-DIFF	4	bert	0.5652173913043478	23	31	9	29
230	longest	0-split-dev-SAME	4	bert	0.6634615384615384	133	20	85	74
231	longest	0-split-dev-DIFF	4	bert	0.6167664670658682	15	60	4	88
232	longest	1-split-bal	4	bert	0.5777777777777777	17	28	10	35
233	longest	2-split-bal	4	bert	0.5927835051546392	86	11	68	29
234	longest	0-split-dev	5	bert	0.6722338204592901	155	73	84	167
235	longest	1-split-all	5	bert	0.5128205128205128	27	45	12	33
236	longest	2-split-all	5	bert	0.7295081967213115	242	27	72	25
237	longest	ALL	5	bert	0.6688097593142104	1992	1041	968	2065
238	longest	SAME	5	bert	0.6844489179667841	1640	415	839	1080
239	longest	DIFF	5	bert	0.6391013384321224	352	626	129	985
240	longest	1-split-DIFF	5	bert	0.5128205128205128	27	45	12	33
241	longest	2-split-SAME	5	bert	0.7846715328467153	215	0	59	0
242	longest	2-split-DIFF	5	bert	0.5652173913043478	27	27	13	25
243	longest	0-split-dev-SAME	5	bert	0.6955128205128205	129	24	71	88
244	longest	0-split-dev-DIFF	5	bert	0.6287425149700598	26	49	13	79
245	longest	1-split-bal	5	bert	0.5555555555555556	17	28	12	33
246	longest	2-split-bal	5	bert	0.5824742268041238	88	9	72	25
247	longest	0-split-dev	6	bert	0.6764091858037579	162	66	89	162
248	longest	1-split-all	6	bert	0.5470085470085471	33	39	14	31
249	longest	2-split-all	6	bert	0.7295081967213115	242	27	72	25
250	longest	ALL	6	bert	0.6796900758325091	2030	1003	940	2093
251	longest	SAME	6	bert	0.6897332662304982	1629	426	807	1112
252	longest	DIFF	6	bert	0.6606118546845124	401	577	133	981
253	longest	1-split-DIFF	6	bert	0.5470085470085471	33	39	14	31
254	longest	2-split-SAME	6	bert	0.781021897810219	214	1	59	0
255	longest	2-split-DIFF	6	bert	0.5760869565217391	28	26	13	25
256	longest	0-split-dev-SAME	6	bert	0.6891025641025641	129	24	73	86
257	longest	0-split-dev-DIFF	6	bert	0.6526946107784432	33	42	16	76
258	longest	1-split-bal	6	bert	0.5777777777777777	21	24	14	31
259	longest	2-split-bal	6	bert	0.5773195876288659	87	10	72	25
260	longest	0-split-dev	7	bert	0.6764091858037579	157	71	84	167
261	longest	1-split-all	7	bert	0.5555555555555556	38	34	18	27
262	longest	2-split-all	7	bert	0.7185792349726776	239	30	73	24
263	longest	ALL	7	bert	0.6801846356742499	2022	1011	929	2104
264	longest	SAME	7	bert	0.6899849018621037	1607	448	784	1135
265	longest	DIFF	7	bert	0.6615678776290631	415	563	145	969
266	longest	1-split-DIFF	7	bert	0.5555555555555556	38	34	18	27
267	longest	2-split-SAME	7	bert	0.781021897810219	212	3	57	2
268	longest	2-split-DIFF	7	bert	0.532608695652174	27	27	16	22
269	longest	0-split-dev-SAME	7	bert	0.6891025641025641	123	30	67	92
270	longest	0-split-dev-DIFF	7	bert	0.6526946107784432	34	41	17	75
271	longest	1-split-bal	7	bert	0.5444444444444444	22	23	18	27
272	longest	2-split-bal	7	bert	0.5670103092783505	86	11	73	24
273	longest	0-split-dev	8	bert	0.6805845511482255	160	68	85	166
274	longest	1-split-all	8	bert	0.5726495726495726	43	29	21	24
275	longest	2-split-all	8	bert	0.7349726775956285	244	25	72	25
276	longest	ALL	8	bert	0.6880975931421035	2046	987	905	2128
277	longest	SAME	8	bert	0.6980372420734776	1605	450	750	1169
278	longest	DIFF	8	bert	0.6692160611854685	441	537	155	959
279	longest	1-split-DIFF	8	bert	0.5726495726495726	43	29	21	24
280	longest	2-split-SAME	8	bert	0.7846715328467153	212	3	56	3
281	longest	2-split-DIFF	8	bert	0.5869565217391305	32	22	16	22
282	longest	0-split-dev-SAME	8	bert	0.6955128205128205	123	30	65	94
283	longest	0-split-dev-DIFF	8	bert	0.6526946107784432	37	38	20	72
284	longest	1-split-bal	8	bert	0.5444444444444444	25	20	21	24
285	longest	2-split-bal	8	bert	0.5824742268041238	88	9	72	25
286	longest	0-split-dev	9	bert	0.6951983298538622	169	59	87	164
287	longest	1-split-all	9	bert	0.6410256410256411	47	25	17	28
288	longest	2-split-all	9	bert	0.7377049180327869	244	25	71	26
289	longest	ALL	9	bert	0.6859545004945599	2032	1001	904	2129
290	longest	SAME	9	bert	0.6927528938097635	1597	458	763	1156
291	longest	DIFF	9	bert	0.6730401529636711	435	543	141	973
292	longest	1-split-DIFF	9	bert	0.6410256410256411	47	25	17	28
293	longest	2-split-SAME	9	bert	0.7846715328467153	212	3	56	3
294	longest	2-split-DIFF	9	bert	0.5978260869565217	32	22	15	23
295	longest	0-split-dev-SAME	9	bert	0.6955128205128205	125	28	67	92
296	longest	0-split-dev-DIFF	9	bert	0.6946107784431138	44	31	20	72
297	longest	1-split-bal	9	bert	0.6222222222222222	28	17	17	28
298	longest	2-split-bal	9	bert	0.5876288659793815	88	9	71	26
299	longest	0-split-dev	10	bert	0.6847599164926931	171	57	94	157
300	longest	1-split-all	10	bert	0.6495726495726496	48	24	17	28
301	longest	2-split-all	10	bert	0.7404371584699454	243	26	69	28
302	longest	ALL	10	bert	0.6909000989119684	2067	966	909	2124
303	longest	SAME	10	bert	0.6992954202315048	1609	446	749	1170
304	longest	DIFF	10	bert	0.6749521988527725	458	520	160	954
305	longest	1-split-DIFF	10	bert	0.6495726495726496	48	24	17	28
306	longest	2-split-SAME	10	bert	0.7700729927007299	207	8	55	4
307	longest	2-split-DIFF	10	bert	0.6521739130434783	36	18	14	24
308	longest	0-split-dev-SAME	10	bert	0.6955128205128205	129	24	71	88
309	longest	0-split-dev-DIFF	10	bert	0.6646706586826348	42	33	23	69
310	longest	1-split-bal	10	bert	0.6222222222222222	28	17	17	28
311	longest	2-split-bal	10	bert	0.5979381443298969	88	9	69	28
312	longest	0-split-dev	11	bert	0.6555323590814196	159	69	96	155
313	longest	1-split-all	11	bert	0.6410256410256411	46	26	16	29
